2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration text -> org.hibernate.type.BasicTypeReference@65bd19bf
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration ntext -> org.hibernate.type.BasicTypeReference@74697863
2023-09-25 01:07:53.953 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration clob -> org.hibernate.type.BasicTypeReference@7d7ceca8
2023-09-25 01:07:53.954 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@7d7ceca8
2023-09-25 01:07:53.954 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration nclob -> org.hibernate.type.BasicTypeReference@2bba35ef
2023-09-25 01:07:53.954 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@2bba35ef
2023-09-25 01:07:53.954 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@26c7b1c6
2023-09-25 01:07:53.954 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@19526f1d
2023-09-25 01:07:53.954 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@3d1c933
2023-09-25 01:07:53.954 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@79be91eb
2023-09-25 01:07:53.954 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@626c569b
2023-09-25 01:07:53.955 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@684ce74c
2023-09-25 01:07:53.955 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration Duration -> org.hibernate.type.BasicTypeReference@65593327
2023-09-25 01:07:53.955 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@65593327
2023-09-25 01:07:53.955 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@68e5c7ae
2023-09-25 01:07:53.955 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@68e5c7ae
2023-09-25 01:07:53.955 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@68bd8ca7
2023-09-25 01:07:53.955 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@68bd8ca7
2023-09-25 01:07:53.955 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@6744707b
2023-09-25 01:07:53.955 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@6744707b
2023-09-25 01:07:53.956 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@4b28a7bf
2023-09-25 01:07:53.956 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@4b28a7bf
2023-09-25 01:07:53.956 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@d36c1c3
2023-09-25 01:07:53.956 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@96abc76
2023-09-25 01:07:53.956 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@4d69d288
2023-09-25 01:07:53.956 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@4d69d288
2023-09-25 01:07:53.956 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@437281c5
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@787178b1
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@24a4e2c5
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@27da994b
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@27da994b
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@70f148dc
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@3360283
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration date -> org.hibernate.type.BasicTypeReference@77aea
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@77aea
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration time -> org.hibernate.type.BasicTypeReference@73e4bb60
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@73e4bb60
2023-09-25 01:07:53.957 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@9a9aa68
2023-09-25 01:07:53.958 DEBUG 24752 --- [main] o.hibernate.type.BasicTypeRegistry : Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@9a9aa68
